country,headie1,headie2
AUT,1996,26
AUT,1997,25
AUT,1998,24
AUT,1999,26
AUT,2000,28.8
AUT,2001,24
AUT,2002,27.2
AUT,2003,29.5
AUT,2004,29.8
AUT,2005,28.7
AUT,2006,29.6
AUT,2007,30.6
AUT,2008,30.4
AUT,2009,31.5
AUT,2010,30.3
AUT,2011,30.8
AUT,2012,30.5
AUT,2013,30.8
AUT,2014,30.5
AUT,2015,30.5
AUT,2016,30.8
AUT,2017,29.7
AUT,2018,30.8
AUT,2019,27.5
BEL,1995,29
BEL,1996,28
BEL,1997,27
BEL,1998,27
BEL,1999,29
BEL,2000,33.1
BEL,2001,28
BEL,2002,26.3
BEL,2003,28.1
BEL,2004,30.5
BEL,2005,29.3
BEL,2006,28.1
BEL,2007,29.2
BEL,2008,28.4
BEL,2009,28.6
BEL,2010,28.4
BEL,2011,28.1
BEL,2012,27.5
BEL,2013,27.7
BEL,2014,28.1
BEL,2015,27.7
BEL,2016,27.6
BEL,2017,27.4
BEL,2018,27.2
BEL,2019,25.1
BGR,1999,40.8
BGR,2000,25
BGR,2001,26
BGR,2002,26
BGR,2003,37
BGR,2004,35.4
BGR,2005,35.4
BGR,2006,35.7
BGR,2007,36.1
BGR,2008,33.6
BGR,2009,33.8
BGR,2010,35.7
BGR,2011,34.3
BGR,2012,36
BGR,2013,36.6
BGR,2014,37.4
BGR,2015,38.6
BGR,2016,40.6
BGR,2017,40.4
BGR,2018,41.3
BGR,2019,40.8
HRV,1999,29.2
HRV,2000,29.7
HRV,2001,29.9
HRV,2002,29.8
HRV,2003,30.4
HRV,2004,30.2
HRV,2005,30.9
HRV,2006,30.9
HRV,2007,31.2
HRV,2008,31.6
HRV,2009,32.6
HRV,2010,32.4
HRV,2011,32.3
HRV,2012,32.5
HRV,2013,32
HRV,2014,32.1
HRV,2015,31.1
HRV,2016,30.9
HRV,2017,30.4
HRV,2018,29.7
HRV,2019,29.2
CYP,1997,29
CYP,1999,31.1
CYP,2000,29.1
CYP,2001,30.8
CYP,2002,32.1
CYP,2003,33.6
CYP,2004,30.1
CYP,2005,30.3
CYP,2006,31.1
CYP,2007,31.1
CYP,2008,31.7
CYP,2009,32.1
CYP,2010,31.5
CYP,2011,32.6
CYP,2012,34.3
CYP,2013,37
CYP,2014,35.6
CYP,2015,34
CYP,2016,32.9
CYP,2017,31.4
CYP,2018,32.7
CYP,2019,31.1
CZE,1999,24
CZE,2000,24
CZE,2001,25
CZE,2002,26.6
CZE,2003,25
CZE,2004,27.5
CZE,2005,26.9
CZE,2006,26.7
CZE,2007,26
CZE,2008,26.3
CZE,2009,26.2
CZE,2010,26.6
CZE,2011,26.4
CZE,2012,26.1
CZE,2013,26.5
CZE,2014,25.9
CZE,2015,25.9
CZE,2016,25.4
CZE,2017,24.9
CZE,2018,25
CZE,2019,24
DNK,1995,20
DNK,1997,20
