Week,Crypto
2018-01-07,24
2018-01-14,21
2018-01-21,15
2018-01-28,15
2018-02-04,12
2018-02-11,9
2018-02-18,8
2018-02-25,8
2018-03-04,7
2018-03-11,7
2018-03-18,6
2018-03-25,6
2018-04-01,5
2018-04-08,5
2018-04-15,6
2018-04-22,6
2018-04-29,6
2018-05-06,6
2018-05-13,6
2018-05-20,5
2018-05-27,5
2018-06-03,4
2018-06-10,5
2018-06-17,4
2018-06-24,4
2018-07-01,3
2018-07-08,4
2018-07-15,5
2018-07-22,4
2018-07-29,4
2018-08-05,5
2018-08-12,4
2018-08-19,4
2018-08-26,4
2018-09-02,4
2018-09-09,4
2018-09-16,4
2018-09-23,3
2018-09-30,3
2018-10-07,3
2018-10-14,4
2018-10-21,3
2018-10-28,3
2018-11-04,3
2018-11-11,3
2018-11-18,3
2018-11-25,4
2018-12-02,3
2018-12-09,3
2018-12-16,4
2018-12-23,3
2018-12-30,3
2019-01-06,3
2019-01-13,3
2019-01-20,3
2019-01-27,3
2019-02-03,3
2019-02-10,3
2019-02-17,3
2019-02-24,3
2019-03-03,3
2019-03-10,3
2019-03-17,3
2019-03-24,3
2019-03-31,4
2019-04-07,4
2019-04-14,3
2019-04-21,3
2019-04-28,3
2019-05-05,3
2019-05-12,5
2019-05-19,4
2019-05-26,4
2019-06-02,3
2019-06-09,4
2019-06-16,5
2019-06-23,6
2019-06-30,5
2019-07-07,4
2019-07-14,4
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,3
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,3
2019-09-22,4
2019-09-29,4
2019-10-06,3
2019-10-13,3
2019-10-20,3
2019-10-27,3
2019-11-03,3
2019-11-10,2
2019-11-17,2
2019-11-24,3
2019-12-01,2
2019-12-08,2
2019-12-15,3
2019-12-22,2
2019-12-29,2
2020-01-05,3
2020-01-12,3
2020-01-19,3
2020-01-26,3
2020-02-02,3
2020-02-09,5
2020-02-16,4
2020-02-23,3
2020-03-01,3
2020-03-08,3
2020-03-15,3
2020-03-22,3
2020-03-29,3
2020-04-05,3
2020-04-12,3
2020-04-19,3
2020-04-26,4
2020-05-03,4
2020-05-10,5
2020-05-17,4
2020-05-24,4
2020-05-31,4
2020-06-07,4
2020-06-14,3
2020-06-21,4
2020-06-28,4
2020-07-05,5
2020-07-12,5
2020-07-19,5
2020-07-26,6
2020-08-02,6
2020-08-09,6
2020-08-16,8
2020-08-23,5
2020-08-30,6
2020-09-06,5
2020-09-13,4
2020-09-20,4
2020-09-27,4
2020-10-04,4
2020-10-11,3
2020-10-18,4
2020-10-25,4
2020-11-01,3
2020-11-08,5
2020-11-15,6
2020-11-22,8
2020-11-29,7
2020-12-06,6
2020-12-13,7
2020-12-20,8
2020-12-27,10
2021-01-03,18
2021-01-10,15
2021-01-17,12
2021-01-24,26
2021-01-31,30
2021-02-07,34
2021-02-14,31
2021-02-21,27
2021-02-28,21
2021-03-07,20
2021-03-14,24
2021-03-21,23
2021-03-28,24
2021-04-04,26
2021-04-11,49
2021-04-18,73
2021-04-25,47
2021-05-02,85
2021-05-09,100
2021-05-16,77
2021-05-23,50
2021-05-30,36
2021-06-06,32
2021-06-13,28
2021-06-20,31
2021-06-27,22
2021-07-04,20
2021-07-11,18
2021-07-18,18
2021-07-25,19
2021-08-01,19
2021-08-08,26
2021-08-15,26
2021-08-22,27
2021-08-29,27
2021-09-05,35
2021-09-12,25
2021-09-19,28
2021-09-26,23
2021-10-03,31
2021-10-10,31
2021-10-17,35
2021-10-24,67
2021-10-31,70
2021-11-07,62
2021-11-14,60
2021-11-21,58
2021-11-28,52
2021-12-05,42
2021-12-12,40
2021-12-19,37
2021-12-26,38
2022-01-02,49
2022-01-09,40
2022-01-16,45
2022-01-23,43
2022-01-30,36
2022-02-06,37
2022-02-13,38
2022-02-20,32
2022-02-27,29
2022-03-06,32
2022-03-13,26
2022-03-20,27
2022-03-27,31
2022-04-03,31
2022-04-10,29
2022-04-17,26
2022-04-24,23
2022-05-01,23
2022-05-08,47
2022-05-15,30
2022-05-22,22
2022-05-29,19
2022-06-05,19
2022-06-12,34
2022-06-19,21
2022-06-26,20
2022-07-03,18
2022-07-10,17
2022-07-17,18
2022-07-24,17
2022-07-31,17
2022-08-07,17
2022-08-14,17
2022-08-21,16
2022-08-28,16
2022-09-04,14
2022-09-11,15
2022-09-18,14
2022-09-25,12
2022-10-02,13
2022-10-09,13
2022-10-16,13
2022-10-23,13
2022-10-30,13
2022-11-06,28
2022-11-13,30
2022-11-20,18
2022-11-27,17
2022-12-04,16
2022-12-11,17
2022-12-18,13
2022-12-25,12
