date,cumDeaths28DaysByDeathDate
10/10/2022,167949
09/10/2022,167920
08/10/2022,167859
07/10/2022,167792
06/10/2022,167705
05/10/2022,167609
04/10/2022,167502
03/10/2022,167403
02/10/2022,167310
01/10/2022,167228
30/09/2022,167145
29/09/2022,167062
28/09/2022,166977
27/09/2022,166904
26/09/2022,166825
25/09/2022,166744
24/09/2022,166679
23/09/2022,166621
22/09/2022,166564
21/09/2022,166503
20/09/2022,166455
19/09/2022,166384
18/09/2022,166320
17/09/2022,166257
16/09/2022,166202
15/09/2022,166157
14/09/2022,166101
13/09/2022,166056
12/09/2022,165994
11/09/2022,165941
10/09/2022,165896
09/09/2022,165850
08/09/2022,165803
07/09/2022,165751
06/09/2022,165689
05/09/2022,165637
04/09/2022,165572
03/09/2022,165500
02/09/2022,165444
01/09/2022,165372
31/08/2022,165304
30/08/2022,165211
29/08/2022,165149
28/08/2022,165084
27/08/2022,165006
26/08/2022,164931
25/08/2022,164860
24/08/2022,164791
23/08/2022,164724
22/08/2022,164645
21/08/2022,164558
20/08/2022,164466
19/08/2022,164370
18/08/2022,164294
17/08/2022,164206
16/08/2022,164124
15/08/2022,164019
14/08/2022,163892
13/08/2022,163786
12/08/2022,163656
11/08/2022,163522
10/08/2022,163377
09/08/2022,163261
08/08/2022,163138
07/08/2022,163010
06/08/2022,162882
05/08/2022,162766
04/08/2022,162644
03/08/2022,162524
02/08/2022,162370
01/08/2022,162220
31/07/2022,162069
30/07/2022,161927
29/07/2022,161798
28/07/2022,161626
27/07/2022,161454
26/07/2022,161309
25/07/2022,161167
24/07/2022,161019
23/07/2022,160841
22/07/2022,160684
21/07/2022,160536
20/07/2022,160386
19/07/2022,160177
18/07/2022,159874
17/07/2022,159714
16/07/2022,159521
15/07/2022,159362
14/07/2022,159220
13/07/2022,159078
12/07/2022,158919
11/07/2022,158756
10/07/2022,158608
09/07/2022,158458
08/07/2022,158313
07/07/2022,158180
06/07/2022,158061
05/07/2022,157930
04/07/2022,157816
03/07/2022,157699
02/07/2022,157602
01/07/2022,157496
30/06/2022,157404
29/06/2022,157320
28/06/2022,157235
27/06/2022,157167
26/06/2022,157094
25/06/2022,157028
24/06/2022,156957
23/06/2022,156902
22/06/2022,156830
21/06/2022,156765
20/06/2022,156709
19/06/2022,156649
18/06/2022,156591
17/06/2022,156540
16/06/2022,156488
15/06/2022,156430
14/06/2022,156384
13/06/2022,156347
12/06/2022,156310
11/06/2022,156279
10/06/2022,156236
09/06/2022,156183
08/06/2022,156147
07/06/2022,156106
06/06/2022,156066
05/06/2022,156015
04/06/2022,155970
03/06/2022,155922
02/06/2022,155887
01/06/2022,155841
31/05/2022,155801
30/05/2022,155745
29/05/2022,155686
28/05/2022,155650
27/05/2022,155596
26/05/2022,155542
25/05/2022,155479
24/05/2022,155435
23/05/2022,155390
22/05/2022,155330
21/05/2022,155268
20/05/2022,155205
19/05/2022,155138
18/05/2022,155080
17/05/2022,155023
16/05/2022,154939
15/05/2022,154871
14/05/2022,154787
13/05/2022,154704
12/05/2022,154614
11/05/2022,154513
10/05/2022,154421
09/05/2022,154314
08/05/2022,154209
07/05/2022,154103
06/05/2022,153985
05/05/2022,153861
04/05/2022,153743
03/05/2022,153618
02/05/2022,153495
01/05/2022,153355
30/04/2022,153197
29/04/2022,153031
28/04/2022,152876
27/04/2022,152706
26/04/2022,152542
25/04/2022,152388
24/04/2022,152220
23/04/2022,152059
22/04/2022,151880
21/04/2022,151689
20/04/2022,151507
19/04/2022,151298
18/04/2022,151120
17/04/2022,150894
16/04/2022,150669
15/04/2022,150440
14/04/2022,150224
13/04/2022,149985
12/04/2022,149722
11/04/2022,149469
10/04/2022,149231
09/04/2022,148986
08/04/2022,148745
07/04/2022,148478
06/04/2022,148232
05/04/2022,147987
04/04/2022,147762
03/04/2022,147551
02/04/2022,147320
01/04/2022,147066
31/03/2022,146850
30/03/2022,146628
29/03/2022,146416
28/03/2022,146212
27/03/2022,146024
26/03/2022,145838
25/03/2022,145652
24/03/2022,145472
23/03/2022,145297
22/03/2022,145132
21/03/2022,144947
20/03/2022,144802
19/03/2022,144647
18/03/2022,144498
17/03/2022,144336
16/03/2022,144177
15/03/2022,144032
14/03/2022,143900
13/03/2022,143745
12/03/2022,143619
11/03/2022,143493
10/03/2022,143374
09/03/2022,143246
08/03/2022,143123
07/03/2022,142995
06/03/2022,142878
05/03/2022,142772
04/03/2022,142665
03/03/2022,142557
02/03/2022,142417
01/03/2022,142289
28/02/2022,142178
27/02/2022,142059
26/02/2022,141952
25/02/2022,141836
24/02/2022,141714
23/02/2022,141577
22/02/2022,141456
21/02/2022,141336
20/02/2022,141212
19/02/2022,141067
18/02/2022,140930
17/02/2022,140799
16/02/2022,140655
15/02/2022,140505
14/02/2022,140356
13/02/2022,140187
12/02/2022,140031
11/02/2022,139882
10/02/2022,139733
09/02/2022,139568
08/02/2022,139408
07/02/2022,139242
06/02/2022,139085
05/02/2022,138892
