Date,GRA Purchases,PRGT 1/2/,Totals,Year,SDR --> USD,USD Equivalent ,USD Equivalent (billions)
08/31/2022,93769635059,15254184552,109023819611,2022,1.28068,139624625299,139.62
12/31/2021,89474552025,14554823681,104029375706,2021,1.39959,145598473944,145.60
12/31/2020,93408630285,12481816684,105890446969,2020,1.44027,152510834056,152.51
12/31/2019,66945509865,6590835450,73536345315,2019,1.38283,101688264392,101.69
12/31/2018,55395611392,6426181029,61821792421,2018,1.39079,85981130681,85.98
12/31/2017,39585385873,6522280669,46107666542,2017,1.42413,65663311152,65.66
12/31/2016,49267630851,6482647937,55750278788,2016,1.34433,74946772283,74.95
12/31/2015,50757840741,6575911158,57333751899,2015,1.38573,79449100019,79.45
12/31/2014,69041563463,6292755583,75334319046,2014,1.44881,109145114777,109.15
12/31/2013,83899249061,6174392682,90073641743,2013,1.54,138713408284,138.71
12/31/2012,90042348252,5766292503,95808640755,2012,1.53692,147250216149,147.25
12/31/2011,87276915790,5308609594,92585525384,2011,1.53527,142143779556,142.14
12/31/2010,55620104510,4819344134,60439448644,2010,1.54003,93078564095,93.08
12/31/2009,37221142436,5079705286,42300847722,2009,1.56769,66314615965,66.31
12/31/2008,17514964723,3972372030,21487336753,2008,1.54027,33096300181,33.10
12/31/2007,6036146757,3796945581,9833092338,2007,1.58025,15538744167,15.54
12/31/2006,9822640239,3844020520,13666660759,2006,1.5044,20560124446,20.56
12/31/2005,28432143237,6282121668,34714264905,2005,1.42927,49616057401,49.62
12/31/2004,55373766674,6766029353,62139796027,2004,1.55301,96503724628,96.50
12/31/2003,65032062712,6880893268,71912955980,2003,1.48597,106860495198,106.86
12/31/2002,63601058794,6868671012,70469729806,2002,1.35952,95805007066,95.81
12/31/2001,53477225409,6424578684,59901804093,2001,1.25673,75280394258,75.28
12/31/2000,42990531049,6331595468,49322126517,2000,1.30291,64262291860,64.26
12/31/1999,51061861875,6434274362,57496136237,1999,1.37251,78914021947,78.91
12/31/1998,60451017051,6288825925,66739842976,1998,1.40677,93887608903,93.89
12/31/1997,46559033783,6009867422,52568901205,1997,1.34925,70928589951,70.93
12/31/1996,36127472805,5881609752,42009082557,1996,1.43796,60407380354,60.41
12/31/1995,35929173412,5657438528,41586611940,1995,1.48649,61818082783,61.82
12/31/1994,25611676952,4599768498,30211445450,1994,1.45985,44104178640,44.10
12/31/1993,25196745031,3942792899,29139537930,1993,1.37356,40024903719,40.02
12/31/1992,23967172718,3804463796,27771636514,1992,1.375,38186000207,38.19
12/31/1991,23378573926,3285717796,26664291722,1991,1.43043,38141402808,38.14
12/31/1990,20731851093,2571911617,23303762710,1990,1.42266,33153331057,33.15
12/31/1989,22315104224,2334886562,24649990786,1989,1.31416,32394031891,32.39
12/31/1988,24750004884,1773964293,26523969177,1988,1.3457,35693305321,35.69
12/31/1987,28751979125,1866342930,30618322055,1987,1.41866,43436988767,43.44
12/31/1986,33334905644,2013169931,35348075575,1986,1.22319,43237412563,43.24
12/31/1985,35194787249,2470247948,37665035197,1985,1.09842,41372027961,41.37
12/31/1984,34936772393,2769874900,37706647293,1984,0.980205,36960244210,36.96
