Reporting Period,Overall Total,Total excluding National Lottery & Lotteries,Arcades (non-remote),Betting (non-remote),Bingo (non-remote),Casino (non-remote),Betting (remote),Bingo (remote),Casino (remote),Lotteries (remote and non-remote),The National Lottery (remote and non-remote)
Apr 2008 - Mar 2009,8365,5700,480,2903,703,796,783,0,33,144,2522
Apr 2009 - Mar 2010,8116,5278,456,2811,627,751,608,2,23,159,2679
Apr 2010 - Mar 2011,8436,5425,392,2957,626,797,638,2,13,170,2840
Apr 2011 - Mar 2012,9027,5674,381,3030,681,873,688,2,20,229,3124
Apr 2012 - Mar 2013,9705,6152,359,3199,701,961,888,2,42,273,3280
Apr 2013 - Mar 2014,9869,6475,379,3177,673,1111,1103,4,27,294,3100
Apr 2014 - Mar 2015,11314,7732,387,3267,679,1160,1251,72,915,350,3232
Apr 2015 - Mar 2016,13456,9659,418,3318,693,999,1744,122,2364,380,3417
Apr 2016 - Mar 2017,13780,10359,425,3311,684,1164,1953,161,2661,442,2979
Apr 2017 - Mar 2018,14411,10900,425,3268,680,1181,2252,164,2931,502,3008
Apr 2018 - Mar 2019,14367,10747,447,3262,674,1059,2021,176,3108,541,3079
Apr 2019 - Mar 2020,14187,10175,431,2415,576,1018,2326,177,3232,613,3399
Apr 2020 - Mar 2021,12695,8528,258,1035,246,117,2644,189,4039,635,3532
Apr 2021 - Mar 2022,14080,9931,278,2128,389,692,2364,184,3898,666,3483
