,Country,Year,Value
0,Finland,Happiness,7.84
1,Denmark,Happiness,7.62
2,Switzerland,Happiness,7.57
3,Iceland,Happiness,7.55
4,Netherlands,Happiness,7.46
5,Norway,Happiness,7.39
6,Sweden,Happiness,7.36
7,Luxembourg,Happiness,7.32
8,New Zealand,Happiness,7.28
9,Austria,Happiness,7.27
10,Australia,Happiness,7.18
11,Israel,Happiness,7.16
12,Germany,Happiness,7.16
13,Canada,Happiness,7.10
14,Ireland,Happiness,7.09
15,Costa Rica,Happiness,7.07
16,United Kingdom,Happiness,7.06
17,Czech Republic,Happiness,6.97
18,United States,Happiness,6.95
19,Belgium,Happiness,6.83
