,Country,Year,Value
0,Finland,2021,7.842
1,Finland,2020,7.809
2,Denmark,2021,7.62
3,Denmark,2020,7.646
4,Switzerland,2021,7.571
5,Switzerland,2020,7.56
6,Iceland,2021,7.554
7,Iceland,2020,7.504
8,Netherlands,2021,7.464
9,Netherlands,2020,7.449
10,Norway,2021,7.392
11,Norway,2020,7.488
12,Sweden,2021,7.363
13,Sweden,2020,7.353
14,Luxembourg,2021,7.324
15,Luxembourg,2020,7.238
16,New Zealand,2021,7.277
17,New Zealand,2020,7.3
18,Austria,2021,7.268
19,Austria,2020,7.294
20,Australia,2021,7.183
21,Australia,2020,7.223
22,Israel,2021,7.157
23,Israel,2020,7.129
24,Germany,2021,7.155
25,Germany,2020,7.076
26,Canada,2021,7.103
27,Canada,2020,7.232
28,Ireland,2021,7.085
29,Ireland,2020,7.129
30,Costa Rica,2021,7.069
31,Costa Rica,2020,7.121
32,United Kingdom,2021,7.064
33,United Kingdom,2020,7.165
34,Czech Republic,2021,6.965
35,Czech Republic,2020,6.911
36,United States,2021,6.951
37,United States,2020,6.94
38,Belgium,2021,6.834
39,Belgium,2020,6.864
