Autonomous community,Agriculture,Industry,Construction,Services
Navarra,3.30,26.60,5.80,64.30
Madrid,0.40,10.00,5.50,84.00
Pais Vasco,1.00,20.30,5.60,73.10
Melilla,,4.80,0.40,94.80
Cataluña,1.40,17.00,6.20,75.40
Aragon,5.80,19.20,6.30,68.80
Ceuta,,5.30,7.30,87.30
La Rioja,5.10,29.10,7.00,58.90
Cantabria,3.30,15.70,7.30,73.70
Baleares,0.50,6.60,9.00,83.90
Castilla-Leon,6.60,15.50,6.30,71.60
Asturias,3.20,14.20,6.70,75.90
Galicia,6.20,15.20,6.70,71.80
Valencia,2.50,17.20,7.10,73.30
Murcia,9.50,13.90,6.20,70.40
Canarias,2.70,4.90,5.50,86.90
Castilla-La Mancha,6.50,15.30,7.80,70.40
Andalucia,6.20,9.30,7.00,77.60
Extremadura,10.30,10.50,7.00,72.20
