Autonomous community,Sector,Percentage
Navarra,Agriculture,3.3
Navarra,Industry,26.6
Navarra,Construction,5.8
Navarra,Services,64.3
Madrid,Agriculture,0.4
Madrid,Industry,10.0
Madrid,Construction,5.5
Madrid,Services,84.0
Pais Vasco,Agriculture,1.0
Pais Vasco,Industry,20.3
Pais Vasco,Construction,5.6
Pais Vasco,Services,73.1
Melilla,Industry,4.8
Melilla,Construction,0.4
Melilla,Services,94.8
Cataluña,Agriculture,1.4
Cataluña,Industry,17.0
Cataluña,Construction,6.2
Cataluña,Services,75.4
Aragon,Agriculture,5.8
Aragon,Industry,19.2
Aragon,Construction,6.3
Aragon,Services,68.8
Ceuta,Industry,5.3
Ceuta,Construction,7.3
Ceuta,Services,87.3
La Rioja,Agriculture,5.1
La Rioja,Industry,29.1
La Rioja,Construction,7.0
La Rioja,Services,58.9
Cantabria,Agriculture,3.3
Cantabria,Industry,15.7
Cantabria,Construction,7.3
Cantabria,Services,73.7
Baleares,Agriculture,0.5
Baleares,Industry,6.6
Baleares,Construction,9.0
Baleares,Services,83.9
Castilla-Leon,Agriculture,6.6
Castilla-Leon,Industry,15.5
Castilla-Leon,Construction,6.3
Castilla-Leon,Services,71.6
Asturias,Agriculture,3.2
Asturias,Industry,14.2
Asturias,Construction,6.7
Asturias,Services,75.9
Galicia,Agriculture,6.2
Galicia,Industry,15.2
Galicia,Construction,6.7
Galicia,Services,71.8
Valencia,Agriculture,2.5
Valencia,Industry,17.2
Valencia,Construction,7.1
Valencia,Services,73.3
Murcia,Agriculture,9.5
Murcia,Industry,13.9
Murcia,Construction,6.2
Murcia,Services,70.4
Canarias,Agriculture,2.7
Canarias,Industry,4.9
Canarias,Construction,5.5
Canarias,Services,86.9
Castilla-La Mancha,Agriculture,6.5
Castilla-La Mancha,Industry,15.3
Castilla-La Mancha,Construction,7.8
Castilla-La Mancha,Services,70.4
Andalucia,Agriculture,6.2
Andalucia,Industry,9.3
Andalucia,Construction,7.0
Andalucia,Services,77.6
Extremadura,Agriculture,10.3
Extremadura,Industry,10.5
Extremadura,Construction,7.0
Extremadura,Services,72.2
