Autonomous community,Spending,Value
Andalucia,Personal,1354.75
Andalucia,Acquisitions,339.96
Andalucia,Other recurring,558.66
Andalucia,Investment,65.96
Aragon,Personal,1679.87
Aragon,Acquisitions,370.68
Aragon,Other recurring,226.46
Aragon,Investment,85.59
Asturias,Personal,1462.1
Asturias,Acquisitions,414.8
Asturias,Other recurring,141.48
Asturias,Investment,43.5
Baleares,Personal,1082.63
Baleares,Acquisitions,261.7
Baleares,Other recurring,155.67
Baleares,Investment,32.39
Canarias,Personal,1000.79
Canarias,Acquisitions,252.23
Canarias,Other recurring,110.4
Canarias,Investment,28.04
Cantabria,Personal,1424.86
Cantabria,Acquisitions,465.73
Cantabria,Other recurring,186.7
Cantabria,Investment,53.99
Castilla-Leon,Personal,1859.36
Castilla-Leon,Acquisitions,532.73
Castilla-Leon,Other recurring,317.39
Castilla-Leon,Investment,67.29
Castilla-La Mancha,Personal,1495.11
Castilla-La Mancha,Acquisitions,125.92
Castilla-La Mancha,Other recurring,343.39
Castilla-La Mancha,Investment,46.6
Cataluña,Personal,1877.76
Cataluña,Acquisitions,481.17
Cataluña,Other recurring,540.56
Cataluña,Investment,99.12
Valencia,Personal,1233.89
Valencia,Acquisitions,346.83
Valencia,Other recurring,154.02
Valencia,Investment,37.66
Extremadura,Personal,1478.41
Extremadura,Acquisitions,194.44
Extremadura,Other recurring,217.9
Extremadura,Investment,37.56
Galicia,Personal,1512.68
Galicia,Acquisitions,488.53
Galicia,Other recurring,266.3
Galicia,Investment,132.33
Madrid,Personal,2273.33
Madrid,Acquisitions,705.22
Madrid,Other recurring,400.23
Madrid,Investment,144.06
Murcia,Personal,1206.2
Murcia,Acquisitions,333.45
Murcia,Other recurring,169.14
Murcia,Investment,67.19
Navarra,Personal,1758.72
Navarra,Acquisitions,1132.06
Navarra,Other recurring,338.84
Navarra,Investment,175.21
Pais Vasco,Personal,2016.32
Pais Vasco,Acquisitions,530.85
Pais Vasco,Other recurring,650.12
Pais Vasco,Investment,81.75
La Rioja,Personal,1410.19
La Rioja,Acquisitions,478.59
La Rioja,Other recurring,865.79
La Rioja,Investment,41.77
Ceuta,Personal,2127.94
Ceuta,Acquisitions,129.35
Ceuta,Other recurring,256.19
Ceuta,Investment,6.8
Melilla,Personal,1044.83
Melilla,Acquisitions,56.47
Melilla,Other recurring,22.17
Melilla,Investment,145.86
