,city,lat,lng,region_clusters
0,Paris,48.8566,2.3522,3
1,Nice,43.7034,7.2663,12
2,Toulouse,43.6045,1.444,2
3,Marseille,43.2964,5.37,5
4,Rennes,48.1147,-1.6794,11
5,Grenoble,45.1715,5.7224,6
6,Nantes,47.2181,-1.5528,11
7,Montpellier,43.6119,3.8772,5
8,Lyon,45.76,4.84,6
9,Rouen,49.4428,1.0886,8
10,Strasbourg,48.5833,7.7458,1
11,Nancy,48.6936,6.1846,1
12,Metz,49.1203,6.1778,1
13,Brest,48.39,-4.49,0
14,Mulhouse,47.75,7.34,1
15,Limoges,45.8353,1.2625,7
16,Orléans,47.9025,1.909,3
17,Bordeaux,44.84,-0.58,4
18,Le Havre,49.49,0.1,8
19,Lille,50.6278,3.0583,10
20,Reims,49.2628,4.0347,10
21,Saint-Étienne,45.4347,4.3903,6
22,Toulon,43.1258,5.9306,12
23,Dijon,47.3167,5.0167,6
24,Angers,47.4736,-0.5542,9
25,Nîmes,43.838,4.361,5
26,Villeurbanne,45.7667,4.8803,6
27,Clermont-Ferrand,45.7831,3.0824,7
28,Le Mans,48.0077,0.1984,8
29,Aix-en-Provence,43.5263,5.4454,5
30,Amiens,49.892,2.299,10
31,Tours,47.2436,0.6892,9
32,Boulogne-sur-Mer,50.7264,1.6147,10
33,Annecy,45.916,6.133,6
34,Perpignan,42.6986,2.8956,2
35,Boulogne-Billancourt,48.8352,2.2409,3
36,Besançon,47.24,6.02,1
37,Belfort,47.64,6.85,1
38,Saint-Denis,48.9356,2.3539,3
39,Argenteuil,48.95,2.25,3
40,Montreuil,48.8611,2.4436,3
41,Caen,49.18,-0.37,8
42,Roubaix,50.6901,3.1817,10
43,Tourcoing,50.7239,3.1612,10
44,Nanterre,48.8988,2.1969,3
45,Avignon,43.95,4.8075,5
46,Vitry-sur-Seine,48.7875,2.3928,3
47,Épinal,48.1744,6.4512,1
48,Créteil,48.7911,2.4628,3
49,Poitiers,46.58,0.34,9
50,Dunkerque,51.0383,2.3775,10
51,Aubervilliers,48.9131,2.3831,3
52,Versailles,48.8053,2.135,3
53,Aulnay-sous-Bois,48.9386,2.4906,3
54,Carrières-sur-Seine,48.9108,2.2889,3
55,Colombes,48.9236,2.2522,3
56,Courbevoic,48.8978,2.2531,3
57,Rueil-Malmaison,48.876,2.181,3
58,Champigny-sur-Marne,48.8172,2.5156,3
59,Béziers,43.3476,3.219,2
60,Pau,43.3,-0.37,4
61,La Rochelle,46.1591,-1.1517,9
62,Saint-Maur-des-Fossés,48.7994,2.4997,3
63,Calais,50.9481,1.8564,10
64,Cannes,43.5513,7.0128,12
65,Antibes,43.5808,7.1239,12
66,Drancy,48.93,2.45,3
67,Ajaccio,41.9267,8.7369,12
68,Mérignac,44.8386,-0.6436,4
69,Saint-Nazaire,47.2806,-2.2086,11
70,Colmar,48.0817,7.3556,1
71,Issy-les-Moulineaux,48.8239,2.27,3
72,Noisy-le-Grand,48.8478,2.5528,3
73,Courcouronnes,48.6239,2.4294,3
74,Vénissieux,45.6978,4.8867,6
75,Cergy,49.0361,2.0631,3
76,Bourges,47.0844,2.3964,7
77,Levallois-Perret,48.895,2.2872,3
78,La Seyne-sur-Mer,43.1,5.883,12
79,Pessac,44.8067,-0.6311,4
80,Valence,44.9333,4.8917,5
81,Quimper,47.9967,-4.0964,0
82,Antony,48.7539,2.2975,3
83,Ivry-sur-Seine,48.8078,2.3747,3
84,Montélimar,44.5581,4.7508,5
85,Troyes,48.2997,4.0792,3
86,Clichy,48.9044,2.3064,3
87,Cherbourg,49.6333,-1.6,11
88,Montauban,44.0181,1.3558,2
89,Neuilly-sur-Seine,48.8881,2.2686,3
90,Chambéry,45.57,5.9118,6
91,Niort,46.3258,-0.4606,9
92,Sarcelles,48.9956,2.3808,3
93,Pantin,48.8966,2.4017,3
94,Lorient,47.75,-3.36,0
95,Le Blanc-Mesnil,48.9387,2.4614,3
96,Beauvais,49.4303,2.0952,3
97,Maisons-Alfort,48.8058,2.4378,3
98,Hyères,43.1199,6.1316,12
99,Épinay-sur-Seine,48.9553,2.3092,3
100,Meaux,48.9603,2.8883,3
101,Chelles,48.8833,2.6,3
102,Villejuif,48.7919,2.3636,3
103,Narbonne,43.1836,3.0042,2
104,La Roche-sur-Yon,46.6705,-1.426,9
105,Cholet,47.06,-0.8783,9
106,Saint-Quentin,49.8486,3.2864,10
107,Évry,48.6239,2.4294,3
