Autonomous community,Year and Quarter,Percentage of population having pursued higher education
Andalucia,2022Q3,29
Andalucia,2022Q2,28
Andalucia,2021Q4,28
Andalucia,2021Q3,28
Andalucia,2021Q2,27
Andalucia,2020Q4,27
Andalucia,2020Q3,26
Andalucia,2020Q2,26
Andalucia,2020Q1,25
Andalucia,2019Q4,25
Andalucia,2019Q3,25
Andalucia,2019Q2,25
Andalucia,2019Q1,24
Andalucia,2018Q4,24
Andalucia,2018Q3,25
Andalucia,2018Q2,24
Andalucia,2018Q1,24
Andalucia,2017Q4,24
Andalucia,2017Q3,24
Andalucia,2017Q2,23
Andalucia,2017Q1,23
Andalucia,2016Q4,23
Andalucia,2016Q3,24
Andalucia,2016Q2,23
Andalucia,2016Q1,23
Andalucia,2015Q4,23
Andalucia,2015Q3,22
Andalucia,2015Q2,23
Andalucia,2015Q1,22
Andalucia,2014Q4,22
Andalucia,2014Q3,22
Andalucia,2014Q2,21
Andalucia,2014Q1,22
Aragon,2022Q3,34
Aragon,2022Q2,32
Aragon,2021Q4,32
Aragon,2021Q3,32
Aragon,2021Q2,32
Aragon,2020Q4,30
Aragon,2020Q3,31
Aragon,2020Q2,32
Aragon,2020Q1,31
Aragon,2019Q4,31
Aragon,2019Q3,31
Aragon,2019Q2,30
Aragon,2019Q1,30
Aragon,2018Q4,30
Aragon,2018Q3,30
Aragon,2018Q2,29
Aragon,2018Q1,28
Aragon,2017Q4,28
Aragon,2017Q3,28
Aragon,2017Q2,28
Aragon,2017Q1,28
Aragon,2016Q4,29
Aragon,2016Q3,29
Aragon,2016Q2,28
Aragon,2016Q1,28
Aragon,2015Q4,28
Aragon,2015Q3,28
Aragon,2015Q2,28
Aragon,2015Q1,27
Aragon,2014Q4,28
Aragon,2014Q3,28
Aragon,2014Q2,27
Aragon,2014Q1,27
Asturias,2022Q3,33
Asturias,2022Q2,33
Asturias,2021Q4,35
Asturias,2021Q3,34
Asturias,2021Q2,33
Asturias,2020Q4,34
Asturias,2020Q3,34
Asturias,2020Q2,34
Asturias,2020Q1,33
Asturias,2019Q4,33
Asturias,2019Q3,33
Asturias,2019Q2,32
Asturias,2019Q1,32
Asturias,2018Q4,32
Asturias,2018Q3,33
Asturias,2018Q2,32
Asturias,2018Q1,32
Asturias,2017Q4,33
Asturias,2017Q3,32
Asturias,2017Q2,32
Asturias,2017Q1,31
Asturias,2016Q4,31
Asturias,2016Q3,32
Asturias,2016Q2,31
Asturias,2016Q1,31
Asturias,2015Q4,31
Asturias,2015Q3,31
Asturias,2015Q2,30
Asturias,2015Q1,30
Asturias,2014Q4,30
Asturias,2014Q3,30
Asturias,2014Q2,30
Asturias,2014Q1,29
Baleares,2022Q3,28
Baleares,2022Q2,28
Baleares,2021Q4,30
Baleares,2021Q3,30
Baleares,2021Q2,30
Baleares,2020Q4,30
Baleares,2020Q3,29
Baleares,2020Q2,29
Baleares,2020Q1,28
Baleares,2019Q4,27
Baleares,2019Q3,27
Baleares,2019Q2,26
Baleares,2019Q1,26
Baleares,2018Q4,25
Baleares,2018Q3,25
Baleares,2018Q2,24
Baleares,2018Q1,24
Baleares,2017Q4,25
Baleares,2017Q3,25
Baleares,2017Q2,25
Baleares,2017Q1,26
Baleares,2016Q4,25
Baleares,2016Q3,25
Baleares,2016Q2,23
Baleares,2016Q1,23
Baleares,2015Q4,23
Baleares,2015Q3,23
Baleares,2015Q2,23
Baleares,2015Q1,22
Baleares,2014Q4,22
Baleares,2014Q3,23
Baleares,2014Q2,23
Baleares,2014Q1,23
Canarias,2022Q3,31
Canarias,2022Q2,30
Canarias,2021Q4,31
Canarias,2021Q3,30
Canarias,2021Q2,29
Canarias,2020Q4,30
Canarias,2020Q3,29
Canarias,2020Q2,28
Canarias,2020Q1,28
Canarias,2019Q4,28
Canarias,2019Q3,28
Canarias,2019Q2,27
Canarias,2019Q1,27
Canarias,2018Q4,26
Canarias,2018Q3,26
Canarias,2018Q2,25
Canarias,2018Q1,25
Canarias,2017Q4,25
Canarias,2017Q3,25
Canarias,2017Q2,25
Canarias,2017Q1,24
Canarias,2016Q4,24
Canarias,2016Q3,25
Canarias,2016Q2,25
Canarias,2016Q1,24
Canarias,2015Q4,23
Canarias,2015Q3,23
Canarias,2015Q2,21
Canarias,2015Q1,21
Canarias,2014Q4,22
Canarias,2014Q3,22
Canarias,2014Q2,22
Canarias,2014Q1,22
Cantabria,2022Q3,36
Cantabria,2022Q2,35
Cantabria,2021Q4,34
Cantabria,2021Q3,34
Cantabria,2021Q2,34
Cantabria,2020Q4,34
Cantabria,2020Q3,35
Cantabria,2020Q2,33
Cantabria,2020Q1,32
Cantabria,2019Q4,33
Cantabria,2019Q3,33
Cantabria,2019Q2,32
Cantabria,2019Q1,32
Cantabria,2018Q4,32
Cantabria,2018Q3,33
Cantabria,2018Q2,31
Cantabria,2018Q1,31
Cantabria,2017Q4,31
Cantabria,2017Q3,32
Cantabria,2017Q2,31
Cantabria,2017Q1,32
Cantabria,2016Q4,31
Cantabria,2016Q3,31
Cantabria,2016Q2,31
Cantabria,2016Q1,31
Cantabria,2015Q4,31
Cantabria,2015Q3,30
Cantabria,2015Q2,30
Cantabria,2015Q1,30
Cantabria,2014Q4,30
Cantabria,2014Q3,30
Cantabria,2014Q2,30
Cantabria,2014Q1,30
Castilla-Leon,2022Q3,31
Castilla-Leon,2022Q2,31
Castilla-Leon,2021Q4,30
