Autonomous community,Year,Household income (€)
Andalucia,2021,25601
Andalucia,2020,25909
Andalucia,2019,23826
Andalucia,2018,24091
Andalucia,2017,23699
Andalucia,2016,21966
Andalucia,2015,20851
Andalucia,2014,21332
Andalucia,2013,22450
Andalucia,2012,23852
Andalucia,2011,23854
Andalucia,2010,25543
Andalucia,2009,26125
Andalucia,2008,25248
Aragon,2021,32067
Aragon,2020,31529
Aragon,2019,29672
Aragon,2018,28886
Aragon,2017,29098
Aragon,2016,28019
Aragon,2015,30058
Aragon,2014,29120
Aragon,2013,29311
Aragon,2012,29339
Aragon,2011,29066
Aragon,2010,30166
Aragon,2009,31598
Aragon,2008,29506
Asturias,2021,28369
Asturias,2020,28284
Asturias,2019,27897
Asturias,2018,27069
Asturias,2017,27454
Asturias,2016,27020
Asturias,2015,25909
Asturias,2014,25623
Asturias,2013,25704
Asturias,2012,27364
Asturias,2011,27817
Asturias,2010,30226
Asturias,2009,30881
Asturias,2008,29473
Baleares,2021,29368
Baleares,2020,33115
Baleares,2019,32179
Baleares,2018,34007
Baleares,2017,32163
Baleares,2016,30859
Baleares,2015,27284
Baleares,2014,26923
Baleares,2013,26307
Baleares,2012,28101
Baleares,2011,28590
Baleares,2010,29405
Baleares,2009,30672
Baleares,2008,28981
Canarias,2021,26392
Canarias,2020,25855
Canarias,2019,24565
Canarias,2018,23048
Canarias,2017,22790
Canarias,2016,22450
Canarias,2015,22261
Canarias,2014,21539
Canarias,2013,22037
Canarias,2012,22084
Canarias,2011,22828
Canarias,2010,24717
Canarias,2009,24300
Canarias,2008,24510
Cantabria,2021,30447
Cantabria,2020,30309
Cantabria,2019,29144
Cantabria,2018,26888
Cantabria,2017,27024
Cantabria,2016,25787
Cantabria,2015,25282
Cantabria,2014,23905
Cantabria,2013,24188
Cantabria,2012,25764
Cantabria,2011,26431
Cantabria,2010,28237
Cantabria,2009,31234
Cantabria,2008,29576
Castilla-Leon,2021,28890
Castilla-Leon,2020,29125
Castilla-Leon,2019,27679
Castilla-Leon,2018,27665
Castilla-Leon,2017,26113
