Region,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Andalucía,19.4,22.5,21.2,21.1,24.7,26.9,29.7,33.6,34.9,36.8,32.9,29.4,27.1
Aragon,10.1,12.1,10.6,10.5,11.6,13.3,15.3,18.6,22.9,22.5,18.4,18,15.2
Asturias,12,14.1,14.4,15,15,14.2,19.5,19,22.8,25.5,20.5,18.2,16.6
Baleares,18,18.9,18.2,17.1,17.4,16.8,18.4,22.3,26.7,28.6,27.9,25,22.2
Canarias,20.3,25.4,18.8,21,20.6,25.7,26,30.8,32.6,33.7,31.8,28.3,27.7
Cantabria,10.5,11.9,11.1,12.2,12.5,14.1,18.9,18.5,21,20.9,18.8,16.3,14.3
Castilla-León,11.1,12.6,11.8,12.4,13.9,15.1,18.3,20.4,22.2,22.7,19.4,17.5,15.8
Castilla- La Mancha,14.3,17.4,18.1,15.7,20.7,22.5,25.5,28.7,30.3,31.2,27.4,22.1,21.7
Cataluña,10.2,12.9,10.7,11.6,12.2,15.3,17.4,20.1,22.1,24.5,22,18.9,17.9
Comunidad Valenciana,12.9,16.5,14.4,14.1,17.1,19.8,21.8,24.3,28,28.7,26.8,23.7,22.5
Extremadura,19,22.2,23.6,22.5,25.9,29.2,29.1,30.2,32.1,35.7,32.1,25.1,23.2
Galicia,11.4,13,12.7,12.5,15.1,17.4,18.2,21.8,23.2,22.3,20.1,17.2,15.4
Madrid,11.9,12.2,10.6,11.7,13.4,14.2,16.8,17.8,20.4,20,18.2,15.2,15.9
Murcia,13.4,16.4,16.5,15.1,18.6,19.3,22.1,26.7,27.7,29.9,26.7,25.6,22.7
Navarra,10.4,11.5,8.6,8.2,10.5,10.3,14.3,15.7,17.1,19,16.2,13.5,12.3
Pais Vasco,8.7,11,8.7,9.6,10.8,11.9,12.8,16.4,17.4,17.1,14.3,11.9,11.1
La Rioja,11.2,11.9,11.2,11.1,11,12.9,14.4,17.6,19.6,19.3,20.1,15.8,14.9
Ceuta,29.2,28.5,23.9,22.3,31.4,23.3,26.2,31.8,31.6,37.5,34.7,25.7,22.8
Melilla,22.1,21.5,23.1,25.9,27.2,29.5,30.7,35.4,24.4,28.9,23.4,21.3,19.8
